sex,athlete,id,class,grit
M,N,114,nct,3.28571428571429
M,N,114,plebe,4
M,N,114,yearling,3.5
M,N,115,nct,3.75
M,N,115,plebe,3.5
M,N,115,yearling,3.33333333333333
M,N,116,nct,4.57142857142857
M,N,116,plebe,4.66666666666667
M,N,116,yearling,4.33333333333333
M,N,117,nct,3.875
M,N,117,plebe,4.66666666666667
M,N,117,yearling,3.66666666666667
M,N,118,nct,3.625
M,N,118,plebe,3.5
M,N,118,yearling,2.66666666666667
M,N,119,nct,4.25
M,N,119,plebe,4.33333333333333
M,N,119,yearling,3.83333333333333
M,N,120,nct,3.625
M,N,120,plebe,3
M,N,120,yearling,3
M,N,121,nct,3.125
M,N,121,plebe,2.5
M,N,121,yearling,3
M,N,122,nct,3.875
M,N,122,plebe,3.66666666666667
M,N,122,yearling,4.16666666666667
M,N,123,nct,4.375
M,N,123,plebe,4.33333333333333
M,N,123,yearling,4.83333333333333
M,Y,124,nct,3.875
M,Y,124,plebe,3.5
M,Y,124,yearling,3.83333333333333
M,N,125,nct,3.25
M,N,125,plebe,2.5
M,N,125,yearling,2.5
M,Y,126,nct,3.5
M,Y,126,plebe,3
M,Y,126,yearling,3
M,N,127,nct,3.28571428571429
M,N,127,plebe,3.66666666666667
M,N,127,yearling,3.83333333333333
M,N,128,nct,3.33333333333333
M,N,128,plebe,4.16666666666667
M,N,128,yearling,3
M,N,129,nct,4.125
M,N,129,plebe,4.16666666666667
M,N,129,yearling,4.5
M,N,130,nct,4.625
M,N,130,plebe,4.66666666666667
M,N,130,yearling,4.33333333333333
M,N,131,nct,3.375
M,N,131,plebe,3.5
M,N,131,yearling,3.33333333333333
M,N,132,nct,2.375
M,N,132,plebe,2.66666666666667
M,N,132,yearling,3.5
M,N,133,nct,4
M,N,133,plebe,3.83333333333333
M,N,133,yearling,4.5
M,N,134,nct,2.875
M,N,134,plebe,3.66666666666667
M,N,134,yearling,4.16666666666667
M,N,135,nct,4.25
M,N,135,plebe,4.16666666666667
M,N,135,yearling,4.5
M,N,136,nct,3.25
M,N,136,plebe,3.16666666666667
M,N,136,yearling,3.33333333333333
M,N,137,nct,3.625
M,N,137,plebe,4.16666666666667
M,N,137,yearling,4.16666666666667
M,N,138,nct,3.5
M,N,138,plebe,3.66666666666667
M,N,138,yearling,3
M,N,139,nct,4
M,N,139,plebe,4.33333333333333
M,N,139,yearling,4.16666666666667
M,N,140,nct,4.375
M,N,140,plebe,4.66666666666667
M,N,140,yearling,4.5
M,N,141,nct,3.375
M,N,141,plebe,3.66666666666667
M,N,141,yearling,4.33333333333333
M,N,142,nct,4.5
M,N,142,plebe,4.66666666666667
M,N,142,yearling,4.66666666666667
M,N,143,nct,3.125
M,N,143,plebe,3.66666666666667
M,N,143,yearling,3.66666666666667
M,Y,144,nct,3.625
M,Y,144,plebe,3.33333333333333
M,Y,144,yearling,4.16666666666667
